title,link,company,location
Слесарь-сантехник,https://aktau.hh.kz/vacancy/79937919?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,СК Буревестник,Красноярск
Слесарь ТО ВДГО,https://aktau.hh.kz/vacancy/79717274?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Мособлгазсервис,Орехово-Зуево
Слесарь по ремонту промышленной техники и оборудования,https://aktau.hh.kz/vacancy/79239498?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,Орис Пром,Москва
Слесарь механосборочных работ,https://aktau.hh.kz/vacancy/79978343?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО ЦФ Руссия,Химки
Слесарь механосборочных работ,https://aktau.hh.kz/vacancy/79078752?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Барси,Нижний Новгород
Слесарь,https://aktau.hh.kz/vacancy/80159767?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Фирма Эксергия,Майкоп
Слесарь по обслуживанию и ремонту оборудования,https://aktau.hh.kz/vacancy/80183916?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ТОО Карбон-Инвест,Степногорск
Слесарь/Сборщик/Монтажник,https://aktau.hh.kz/vacancy/80098160?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,Кемперус,Солнечногорск
Слесарь механосборочных работ,https://aktau.hh.kz/vacancy/80043059?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Эндо-Старс,Санкт-Петербург
Слесарь сантехник,https://aktau.hh.kz/vacancy/79680719?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Спецремонт,Томск
